REGION,TECHNOLOGY,VALUE
RE1,AN_DEMRESELCWSH_HIG_RUR,1.0
RE1,AN_DEMRESELCWSH_HIG_URB,1.0
RE1,AN_DEMRESELCWSH_LOW_RUR,1.0
RE1,AN_DEMRESELCWSH_LOW_URB,1.0
RE1,AN_DEMRESELCWSH_MID_RUR,1.0
RE1,AN_DEMRESELCWSH_MID_URB,1.0
RE1,AN_DEMRESLPGCKN_HIG_RUR,1.0
RE1,AN_DEMRESLPGCKN_HIG_URB,1.0
RE1,AN_DEMRESLPGCKN_LOW_RUR,1.0
RE1,AN_DEMRESLPGCKN_LOW_URB,1.0
RE1,AN_DEMRESLPGCKN_MID_RUR,1.0
RE1,AN_DEMRESLPGCKN_MID_URB,1.0
RE1,AN_DEMRESNGSCKN_HIG_RUR,1.0
RE1,AN_DEMRESNGSCKN_HIG_URB,1.0
RE1,AN_DEMRESNGSCKN_LOW_RUR,1.0
RE1,AN_DEMRESNGSCKN_LOW_URB,1.0
RE1,AN_DEMRESNGSCKN_MID_RUR,1.0
RE1,AN_DEMRESNGSCKN_MID_URB,1.0
RE1,AN_DEMRESNGSWHT_FOR_HIG_RUR,1.0
RE1,AN_DEMRESNGSWHT_FOR_HIG_URB,1.0
RE1,AN_DEMRESNGSWHT_FOR_LOW_RUR,1.0
RE1,AN_DEMRESNGSWHT_FOR_LOW_URB,1.0
RE1,AN_DEMRESNGSWHT_FOR_MID_RUR,1.0
RE1,AN_DEMRESNGSWHT_FOR_MID_URB,1.0
RE1,AN_DEMRESNGSWHT_NAT_HIG_RUR,1.0
RE1,AN_DEMRESNGSWHT_NAT_HIG_URB,1.0
RE1,AN_DEMRESNGSWHT_NAT_LOW_RUR,1.0
RE1,AN_DEMRESNGSWHT_NAT_LOW_URB,1.0
RE1,AN_DEMRESNGSWHT_NAT_MID_RUR,1.0
RE1,AN_DEMRESNGSWHT_NAT_MID_URB,1.0
RE1,AN_DEMRESWOOCKN_HIG_RUR,1.0
RE1,AN_DEMRESWOOCKN_HIG_URB,1.0
RE1,AN_DEMRESWOOCKN_LOW_RUR,1.0
RE1,AN_DEMRESWOOCKN_LOW_URB,1.0
RE1,AN_DEMRESWOOCKN_MID_RUR,1.0
RE1,AN_DEMRESWOOCKN_MID_URB,1.0
RE1,AN_DEMRES_MEDPVA_URB,1.0
RE1,AN_DEMTERBGSCKN_HIG,1.0
RE1,AN_DEMTERBGSCKN_LOW,1.0
RE1,AN_DEMTERBGSCKN_MID,1.0
RE1,AN_DEMTERELCACL_HIG,1.0
RE1,AN_DEMTERELCACL_LOW,1.0
RE1,AN_DEMTERELCACL_MID,1.0
RE1,AN_DEMTERELCAIR_CEN_HIG,1.0
RE1,AN_DEMTERELCAIR_CEN_LOW,1.0
RE1,AN_DEMTERELCAIR_CEN_MID,1.0
RE1,AN_DEMTERELCAIR_SPL_HIG,1.0
RE1,AN_DEMTERELCAIR_SPL_LOW,1.0
RE1,AN_DEMTERELCAIR_SPL_MID,1.0
RE1,AN_DEMTERELCCKN_HIG,1.0
RE1,AN_DEMTERELCCKN_LOW,1.0
RE1,AN_DEMTERELCCKN_MID,1.0
RE1,AN_DEMTERELCDATA,1.0
RE1,AN_DEMTERELCFAN_HIG,1.0
RE1,AN_DEMTERELCFAN_LOW,1.0
RE1,AN_DEMTERELCFAN_MID,1.0
RE1,AN_DEMTERELCILU_CIA,1.0
RE1,AN_DEMTERELCILU_HAL,1.0
RE1,AN_DEMTERELCILU_HIG,1.0
RE1,AN_DEMTERELCILU_LFC,1.0
RE1,AN_DEMTERELCILU_LOW,1.0
RE1,AN_DEMTERELCILU_MID,1.0
RE1,AN_DEMTERELCILU_VAP,1.0
RE1,AN_DEMTERELCMPW_HIG,1.0
RE1,AN_DEMTERELCMPW_LOW,1.0
RE1,AN_DEMTERELCMPW_MID,1.0
RE1,AN_DEMTERELCOTH_HIG,1.0
RE1,AN_DEMTERELCOTH_LOW,1.0
RE1,AN_DEMTERELCOTH_MID,1.0
RE1,AN_DEMTERELCREF_AUC_HIG,1.0
RE1,AN_DEMTERELCREF_AUC_LOW,1.0
RE1,AN_DEMTERELCREF_AUC_MID,1.0
RE1,AN_DEMTERELCREF_CEN_HIG,1.0
RE1,AN_DEMTERELCREF_CEN_LOW,1.0
RE1,AN_DEMTERELCREF_CEN_MID,1.0
RE1,AN_DEMTERLPGCKN_HIG,1.0
RE1,AN_DEMTERLPGCKN_LOW,1.0
RE1,AN_DEMTERLPGCKN_MID,1.0
RE1,AN_DEMTERNGSCKN_HIG,1.0
RE1,AN_DEMTERNGSCKN_LOW,1.0
RE1,AN_DEMTERNGSCKN_MID,1.0
RE1,AN_DEMTRADSLBOT,1.0
RE1,AN_DEMTRADSLBUS_ART,1.0
RE1,AN_DEMTRADSLBUS_BIA,1.0
RE1,AN_DEMTRADSLBUS_IMU,1.0
RE1,AN_DEMTRADSLBUS_URB,1.0
RE1,AN_DEMTRADSLFWD,1.0
RE1,AN_DEMTRADSLLDV,1.0
RE1,AN_DEMTRADSLMIC,1.0
RE1,AN_DEMTRADSLSHP,1.0
RE1,AN_DEMTRADSLSTT,1.0
RE1,AN_DEMTRADSLTAX,1.0
RE1,AN_DEMTRADSLTCK_C2P,1.0
RE1,AN_DEMTRADSLTCK_CSG,1.0
RE1,AN_DEMTRAELCBOT,1.0
RE1,AN_DEMTRAELCBUS_ART,1.0
RE1,AN_DEMTRAELCBUS_BIA,1.0
RE1,AN_DEMTRAELCBUS_IMU,1.0
RE1,AN_DEMTRAELCBUS_URB,1.0
RE1,AN_DEMTRAELCFWD,1.0
RE1,AN_DEMTRAELCLDV,1.0
RE1,AN_DEMTRAELCMET,1.0
RE1,AN_DEMTRAELCMIC,1.0
RE1,AN_DEMTRAELCMTC,1.0
RE1,AN_DEMTRAELCSTT,1.0
RE1,AN_DEMTRAELCTAX,1.0
RE1,AN_DEMTRAELCTCK_C2P,1.0
RE1,AN_DEMTRAELCTCK_CSG,1.0
RE1,AN_DEMTRAFOLSHP,1.0
RE1,AN_DEMTRAGSLBOT,1.0
RE1,AN_DEMTRAGSLBUS_IMU,1.0
RE1,AN_DEMTRAGSLBUS_URB,1.0
RE1,AN_DEMTRAGSLFWD,1.0
RE1,AN_DEMTRAGSLLDV,1.0
RE1,AN_DEMTRAGSLMIC,1.0
RE1,AN_DEMTRAGSLMTC,1.0
RE1,AN_DEMTRAGSLSTT,1.0
RE1,AN_DEMTRAGSLTAX,1.0
RE1,AN_DEMTRAGSLTCK_C2P,1.0
RE1,AN_DEMTRAHDGBUS_IMU,1.0
RE1,AN_DEMTRAHDGBUS_URB,1.0
RE1,AN_DEMTRAHDGFWD,1.0
RE1,AN_DEMTRAHDGLDV,1.0
RE1,AN_DEMTRAHDGMIC,1.0
RE1,AN_DEMTRAHDGSTT,1.0
RE1,AN_DEMTRAHDGTAX,1.0
RE1,AN_DEMTRAHDGTCK_CSG,1.0
RE1,AN_DEMTRAHEVFWD,1.0
RE1,AN_DEMTRAHEVLDV,1.0
RE1,AN_DEMTRAJETAVI,1.0
RE1,AN_DEMTRAJETSAFAVI,1.0
RE1,AN_DEMTRANGSBUS_ART,1.0
RE1,AN_DEMTRANGSBUS_BIA,1.0
RE1,AN_DEMTRANGSBUS_IMU,1.0
RE1,AN_DEMTRANGSBUS_URB,1.0
RE1,AN_DEMTRANGSFWD,1.0
RE1,AN_DEMTRANGSLDV,1.0
RE1,AN_DEMTRANGSMIC,1.0
RE1,AN_DEMTRANGSSTT,1.0
RE1,AN_DEMTRANGSTAX,1.0
RE1,AN_DEMTRANGSTCK_C2P,1.0
RE1,AN_DEMTRANGSTCK_CSG,1.0
RE1,AN_DEMTRAPHEVFWD,1.0
RE1,AN_DEMTRAPHEVLDV,1.0
RE1,AN_DEMTRAPHEVTAX,1.0
RE1,AN_MINAFR,1.0
RE1,AN_MINCOA,1.0
RE1,AN_MINNGS,1.0
RE1,AN_MINOIL_1LIV,1.0
RE1,AN_MINOIL_2MED,1.0
RE1,AN_MINOIL_3PES,1.0
RE1,AN_MINOPL,1.0
RE1,AN_MINWAS,1.0
RE1,AN_MINWAS_ORG,1.0
RE1,AN_MINWOO,1.0
RE1,AN_PWRAFR,1.0
RE1,AN_PWRBGS,1.0
RE1,AN_PWRCOA,1.0
RE1,AN_PWRCOACCS,1.0
RE1,AN_PWRDIST,1.0
RE1,AN_PWRDSL,1.0
RE1,AN_PWRGEO,1.0
RE1,AN_PWRHYDDAM,1.0
RE1,AN_PWRHYDROR,1.0
RE1,AN_PWRNGSCCS,1.0
RE1,AN_PWRNGS_CC,1.0
RE1,AN_PWRNGS_CS,1.0
RE1,AN_PWRSOLRTP,1.0
RE1,AN_PWRSOLUGE,1.0
RE1,AN_PWRSOLUGE_BAT,1.0
RE1,AN_PWRSOLUPE,1.0
RE1,AN_PWRTRN,1.0
RE1,AN_PWRWAS,1.0
RE1,AN_TYDBDL,1.0
RE1,AN_TYDBET,1.0
RE1,AN_TYDDSL,1.0
RE1,AN_TYDGSL,1.0
RE1,AN_TYDJET,1.0
RE1,AN_TYDLPG,1.0
RE1,AN_TYDNGS,1.0
RE1,AN_UPSALK,1.0
RE1,AN_UPSBDB,1.0
RE1,AN_UPSBDL,1.0
RE1,AN_UPSBGB,1.0
RE1,AN_UPSBGS,1.0
RE1,AN_UPSBJS,1.0
RE1,AN_UPSBMET,1.0
RE1,AN_UPSBMETL,1.0
RE1,AN_UPSEVC,1.0
RE1,AN_UPSEV_FC,1.0
RE1,AN_UPSHDGRST,1.0
RE1,AN_UPSPEM,1.0
RE1,AN_UPSSAF,1.0
RE1,AN_UPSSMR,1.0
RE1,AN_UPSSMRCCS,1.0
RE1,CA_BACKSTOP_AGFELC,1.0
RE1,CA_BACKSTOP_AGFHEA,1.0
RE1,CA_BACKSTOP_INDCLIM,1.0
RE1,CA_BACKSTOP_INDDHT,1.0
RE1,CA_BACKSTOP_INDIHT,1.0
RE1,CA_BACKSTOP_INDILU,1.0
RE1,CA_BACKSTOP_INDMPW,1.0
RE1,CA_BACKSTOP_INDOTH_COA,1.0
RE1,CA_BACKSTOP_INDOTH_ELC,1.0
RE1,CA_BACKSTOP_INDREF,1.0
RE1,CA_BACKSTOP_NSEELC,1.0
RE1,CA_BACKSTOP_RESCLIM_RUR,1.0
RE1,CA_BACKSTOP_RESCLIM_URB,1.0
RE1,CA_BACKSTOP_RESDHT_RUR,1.0
RE1,CA_BACKSTOP_RESDHT_URB,1.0
RE1,CA_BACKSTOP_RESILU_RUR,1.0
RE1,CA_BACKSTOP_RESILU_URB,1.0
RE1,CA_BACKSTOP_RESOTH_RUR,1.0
RE1,CA_BACKSTOP_RESOTH_URB,1.0
RE1,CA_BACKSTOP_RESREF_RUR,1.0
RE1,CA_BACKSTOP_RESREF_URB,1.0
RE1,CA_BACKSTOP_RESTV_RUR,1.0
RE1,CA_BACKSTOP_RESTV_URB,1.0
RE1,CA_BACKSTOP_RESWHT_RUR,1.0
RE1,CA_BACKSTOP_RESWHT_URB,1.0
RE1,CA_BACKSTOP_RESWSH_RUR,1.0
RE1,CA_BACKSTOP_RESWSH_URB,1.0
RE1,CA_BACKSTOP_TERCLIM_CEN,1.0
RE1,CA_BACKSTOP_TERCLIM_FAN,1.0
RE1,CA_BACKSTOP_TERCLIM_SPL,1.0
RE1,CA_BACKSTOP_TERDHT,1.0
RE1,CA_BACKSTOP_TERIHT,1.0
RE1,CA_BACKSTOP_TERILU,1.0
RE1,CA_BACKSTOP_TERMPW,1.0
RE1,CA_BACKSTOP_TEROTH,1.0
RE1,CA_BACKSTOP_TERREF_AUC,1.0
RE1,CA_BACKSTOP_TERREF_CEN,1.0
RE1,CA_BACKSTOP_TRAAVI,1.0
RE1,CA_BACKSTOP_TRABUS,1.0
RE1,CA_BACKSTOP_TRAFWD,1.0
RE1,CA_BACKSTOP_TRALDV,1.0
RE1,CA_BACKSTOP_TRAMAS,1.0
RE1,CA_BACKSTOP_TRAMIC,1.0
RE1,CA_BACKSTOP_TRAMRT,1.0
RE1,CA_BACKSTOP_TRAMTC,1.0
RE1,CA_BACKSTOP_TRARVT,1.0
RE1,CA_BACKSTOP_TRASTT,1.0
RE1,CA_BACKSTOP_TRATAX,1.0
RE1,CA_BACKSTOP_TRATCK,1.0
RE1,CA_DEMAGFDSL,1.0
RE1,CA_DEMAGFELC,1.0
RE1,CA_DEMAGFGSL,1.0
RE1,CA_DEMAGFNGS,1.0
RE1,CA_DEMAGFWOO,1.0
RE1,CA_DEMCONSDSL,1.0
RE1,CA_DEMCONSELC,1.0
RE1,CA_DEMCONSGSL,1.0
RE1,CA_DEMCONSNGS,1.0
RE1,CA_DEMINDAUTBOI,1.0
RE1,CA_DEMINDAUTFUR,1.0
RE1,CA_DEMINDBGSBOI_HIG,1.0
RE1,CA_DEMINDBGSBOI_LOW,1.0
RE1,CA_DEMINDBGSBOI_MID,1.0
RE1,CA_DEMINDBGSFUR_HIG,1.0
RE1,CA_DEMINDBGSFUR_LOW,1.0
RE1,CA_DEMINDBGSFUR_MID,1.0
RE1,CA_DEMINDCOABOI_HIG,1.0
RE1,CA_DEMINDCOABOI_LOW,1.0
RE1,CA_DEMINDCOABOI_MID,1.0
RE1,CA_DEMINDCOAFUR_HIG,1.0
RE1,CA_DEMINDCOAFUR_LOW,1.0
RE1,CA_DEMINDCOAFUR_MID,1.0
RE1,CA_DEMINDCOAOTH_LOW,1.0
RE1,CA_DEMINDDSLBOI_HIG,1.0
RE1,CA_DEMINDDSLBOI_LOW,1.0
RE1,CA_DEMINDDSLBOI_MID,1.0
RE1,CA_DEMINDDSLFUR_HIG,1.0
RE1,CA_DEMINDDSLFUR_LOW,1.0
RE1,CA_DEMINDDSLFUR_MID,1.0
RE1,CA_DEMINDELCAIR_HIG,1.0
RE1,CA_DEMINDELCAIR_LOW,1.0
RE1,CA_DEMINDELCAIR_MID,1.0
RE1,CA_DEMINDELCBOI_HIG,1.0
RE1,CA_DEMINDELCBOI_LOW,1.0
RE1,CA_DEMINDELCBOI_MID,1.0
RE1,CA_DEMINDELCFUR_HIG,1.0
RE1,CA_DEMINDELCFUR_LOW,1.0
RE1,CA_DEMINDELCFUR_MID,1.0
RE1,CA_DEMINDELCILU_HIG,1.0
RE1,CA_DEMINDELCILU_LOW,1.0
RE1,CA_DEMINDELCILU_MID,1.0
RE1,CA_DEMINDELCMPW_HIG,1.0
RE1,CA_DEMINDELCMPW_LOW,1.0
RE1,CA_DEMINDELCMPW_MID,1.0
RE1,CA_DEMINDELCOTH_HIG,1.0
RE1,CA_DEMINDELCOTH_LOW,1.0
RE1,CA_DEMINDELCOTH_MID,1.0
RE1,CA_DEMINDELCREF_HIG,1.0
RE1,CA_DEMINDELCREF_LOW,1.0
RE1,CA_DEMINDELCREF_MID,1.0
RE1,CA_DEMINDHDGBOI_HIG,1.0
RE1,CA_DEMINDHDGBOI_LOW,1.0
RE1,CA_DEMINDLPGBOI_HIG,1.0
RE1,CA_DEMINDLPGBOI_LOW,1.0
RE1,CA_DEMINDLPGBOI_MID,1.0
RE1,CA_DEMINDLPGFUR_HIG,1.0
RE1,CA_DEMINDLPGFUR_LOW,1.0
RE1,CA_DEMINDLPGFUR_MID,1.0
RE1,CA_DEMINDNGSBOI_HIG,1.0
RE1,CA_DEMINDNGSBOI_LOW,1.0
RE1,CA_DEMINDNGSBOI_MID,1.0
RE1,CA_DEMINDNGSFURCSS,1.0
RE1,CA_DEMINDNGSFUR_HIG,1.0
RE1,CA_DEMINDNGSFUR_LOW,1.0
RE1,CA_DEMINDNGSFUR_MID,1.0
RE1,CA_DEMINDWASBOI_HIG,1.0
RE1,CA_DEMINDWASBOI_LOW,1.0
RE1,CA_DEMINDWASBOI_MID,1.0
RE1,CA_DEMINDWASFUR_HIG,1.0
RE1,CA_DEMINDWASFUR_LOW,1.0
RE1,CA_DEMINDWASFUR_MID,1.0
RE1,CA_DEMMINIDSL,1.0
RE1,CA_DEMMINIELC,1.0
RE1,CA_DEMMINIGSL,1.0
RE1,CA_DEMMININGS,1.0
RE1,CA_DEMNGSAUT,1.0
RE1,CA_DEMNSEELC,1.0
RE1,CA_DEMRESBGSCKN_MID_RUR,1.0
RE1,CA_DEMRESELCAIR_PAR_HIG_RUR,1.0
RE1,CA_DEMRESELCAIR_PAR_HIG_URB,1.0
RE1,CA_DEMRESELCAIR_PAR_LOW_RUR,1.0
